,name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,As It Was,As It Was,Harry Styles,2022-03-31,167303,100,6,0,0.52,0.342,0.731,0.00101,0.311,-5.338,0.0557,173.93,4,0.662
1,First Class,First Class,Jack Harlow,2022-04-08,173947,93,8,1,0.905,0.0254,0.563,9.71e-06,0.113,-6.135,0.102,106.998,4,0.324
2,Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,2020-08-06,238805,93,11,1,0.761,0.44,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,4,0.531
3,STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23,141805,90,1,1,0.591,0.0383,0.764,0.0,0.103,-5.484,0.0483,169.928,4,0.478
4,Enemy (with JID) - from the series Arcane League of Legends,Mercury - Act 1,Imagine Dragons,2021-09-03,173381,87,11,0,0.728,0.237,0.783,0.0,0.434,-4.424,0.266,77.011,4,0.555
5,Envolver,Versions of Me,Anitta,2022-04-12,193805,67,4,0,0.812,0.152,0.736,0.00254,0.0914,-5.421,0.0833,91.993,4,0.396
6,Bam Bam (feat. Ed Sheeran),Familia,Camila Cabello,2022-04-07,206070,74,8,1,0.756,0.182,0.697,0.0,0.333,-6.377,0.0401,94.996,4,0.956
7,INDUSTRY BABY (feat. Jack Harlow),MONTERO,Lil Nas X,2021-09-17,212352,88,10,0,0.741,0.0221,0.691,0.0,0.0476,-7.395,0.0672,150.087,4,0.892
8,Cold Heart - PNAU Remix,The Lockdown Sessions,Elton John,2021-10-22,202735,75,1,1,0.795,0.0354,0.8,7.25e-05,0.0915,-6.32,0.0309,116.032,4,0.934
9,abcdefu,abcdefu,GAYLE,2021-08-13,168601,95,4,1,0.695,0.299,0.54,0.0,0.367,-5.692,0.0493,121.932,4,0.415
10,Una Noche en Medellín,Una Noche en Medellín,Cris Mj,2022-01-21,153750,93,10,0,0.87,0.0924,0.548,4.6e-05,0.0534,-5.253,0.077,96.018,4,0.832
11,MAMIII,MAMIII,Becky G,2022-02-10,226088,94,4,0,0.843,0.0934,0.7,0.0,0.14,-3.563,0.0803,93.991,4,0.899
12,Ghost,Justice,Justin Bieber,2021-03-19,153190,91,2,1,0.601,0.185,0.741,2.91e-05,0.415,-5.569,0.0478,153.96,4,0.441
13,MIDDLE OF THE NIGHT,MIDDLE OF THE NIGHT,Elley Duhé,2020-01-10,184447,93,4,0,0.41,0.0228,0.611,0.0,0.116,-8.271,0.0467,185.727,3,0.0899
14,Desesperados,VICE VERSA,Rauw Alejandro,2021-12-10,224996,88,1,0,0.869,0.356,0.694,0.00125,0.0878,-3.35,0.0783,90.02,4,0.511
15,Plan A,Plan A,Paulo Londra,2022-03-23,178202,92,0,1,0.583,0.0495,0.834,0.0,0.0658,-4.875,0.0444,173.935,4,0.557
16,Woman,Planet Her,Doja Cat,2021-06-25,172626,93,5,0,0.824,0.0888,0.764,0.00294,0.117,-4.175,0.0854,107.998,4,0.881
17,Shivers,=,Ed Sheeran,2021-10-29,207853,92,2,1,0.788,0.281,0.859,0.0,0.0424,-2.724,0.0856,141.02,4,0.822
18,good 4 u,SOUR,Olivia Rodrigo,2021-05-21,178146,93,9,1,0.563,0.335,0.664,0.0,0.0849,-5.044,0.154,166.928,4,0.688
19,Easy On Me,30,Adele,2021-11-19,224694,87,5,1,0.604,0.578,0.366,0.0,0.133,-7.519,0.0282,141.981,4,0.13
20,THATS WHAT I WANT,MONTERO,Lil Nas X,2021-09-17,143901,93,1,0,0.737,0.00614,0.846,0.0,0.0486,-4.51,0.22,87.981,4,0.546
21,Fuera del mercado,@dannocean,Danny Ocean,2022-02-17,159849,90,8,1,0.453,0.32,0.673,0.0,0.131,-5.649,0.144,92.06,4,0.266
22,Where Are You Now,Where Are You Now,Lost Frequencies,2021-07-30,148197,93,6,0,0.671,0.515,0.636,0.000411,0.172,-8.117,0.103,120.966,4,0.262
23,X ÚLTIMA VEZ,LEGENDADDY,Daddy Yankee,2022-03-25,192477,89,7,1,0.812,0.0789,0.855,0.000167,0.108,-3.725,0.0554,90.04,4,0.573
24,Bad Habits,=,Ed Sheeran,2021-10-29,230746,93,11,0,0.807,0.0451,0.893,2.79e-05,0.366,-3.745,0.0347,126.011,4,0.537
25,Pepas,La 167,Farruko,2021-10-01,287120,82,7,1,0.762,0.00776,0.766,6.98e-05,0.128,-3.955,0.0343,130.001,4,0.442
26,The Motto,The Motto,Tiësto,2021-11-04,164818,92,7,0,0.754,0.0301,0.763,2.23e-05,0.0901,-4.627,0.0435,117.953,4,0.464
