,name,album,artist,image,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,ドライフラワー,ドライフラワー,Yuuri,https://i.scdn.co/image/ab67616d0000b2732a89f91a19c16e94ba441132,2020-10-25,285586,69,7,1,0.463,0.426,0.624,0.0,0.221,-5.118,0.0274,147.929,4,0.521
1,Dynamite,BE,BTS,https://i.scdn.co/image/ab67616d0000b2733deb4b0115410a85afe31c29,2020-11-20,199053,40,6,0,0.746,0.0112,0.765,0.0,0.0936,-4.41,0.0993,114.044,4,0.737
2,夜に駆ける,THE BOOK,YOASOBI,https://i.scdn.co/image/ab67616d0000b273684d81c9356531f2a456b1c1,2021-01-06,258838,75,8,1,0.663,0.00299,0.871,1.8e-06,0.337,-5.287,0.03,130.025,4,0.826
3,Dance Floor,Dance Floor,Mars by Midnight,https://i.scdn.co/image/ab67616d0000b273950dfd5f0cda00af1ae2f9eb,2021-04-09,188244,10,1,1,0.796,0.000571,0.507,0.00541,0.104,-9.668,0.0845,125.004,4,0.354
4,うっせぇわ,うっせぇわ,Ado,https://i.scdn.co/image/ab67616d0000b27389e3b38cb86ef8cfb0cd8def,2020-10-23,204920,67,11,0,0.525,0.00485,0.978,0.0,0.06,-1.072,0.0815,178.069,4,0.577
5,勿忘,Grower,Awesome City Club,https://i.scdn.co/image/ab67616d0000b27357111a5d8c11af8b0b20f24c,2021-02-10,251533,71,6,0,0.448,0.234,0.447,0.0,0.382,-7.161,0.045,78.861,4,0.299
6,怪物,怪物,YOASOBI,https://i.scdn.co/image/ab67616d0000b273f609c79794752ed7ee0976b5,2021-01-06,206000,72,1,1,0.627,0.0699,0.824,6.57e-05,0.31,-3.419,0.118,169.935,4,0.774
7,群青,THE BOOK,YOASOBI,https://i.scdn.co/image/ab67616d0000b273684d81c9356531f2a456b1c1,2021-01-06,248026,73,10,1,0.725,0.305,0.853,0.0,0.115,-3.193,0.0516,134.991,4,0.707
8,炎,炎,LiSA,https://i.scdn.co/image/ab67616d0000b273e0dc47dd1584c66ad4492094,2020-10-12,275000,69,2,1,0.477,0.105,0.685,0.0,0.277,-4.554,0.0325,152.04,4,0.308
9,虹,虹,Masaki Suda,https://i.scdn.co/image/ab67616d0000b273179b92192479bf38feea842b,2020-11-10,258733,65,5,1,0.548,0.071,0.6,0.0,0.192,-5.049,0.0297,143.961,4,0.296
10,Kaikai Kitan,Kaikai Kitan / Ao No Waltz,Eve,https://i.scdn.co/image/ab67616d0000b2734b54d2a72484832db80a0fe9,2020-12-23,221426,76,5,0,0.584,0.0119,0.911,0.0,0.119,-3.515,0.09,92.502,4,0.606
11,猫 〜THE FIRST TAKE ver.〜,X,DISH//,https://i.scdn.co/image/ab67616d0000b2731d59bcd29b5068c1d67b47c9,2021-02-24,273893,60,8,1,0.635,0.539,0.578,0.0,0.115,-6.749,0.132,77.065,4,0.584
12,"Stand by me, Stand by you.",Life Goes On,HIRAIDAI,https://i.scdn.co/image/ab67616d0000b27386a86bc3753b237672859788,2021-02-10,193012,69,3,1,0.66,0.0879,0.576,0.0,0.0599,-5.627,0.0363,80.978,4,0.561
13,ハルジオン,THE BOOK,YOASOBI,https://i.scdn.co/image/ab67616d0000b273684d81c9356531f2a456b1c1,2021-01-06,198600,63,8,1,0.687,0.0545,0.873,0.0,0.318,-3.852,0.0335,130.024,4,0.884
14,春を告げる,春を告げる,yama,https://i.scdn.co/image/ab67616d0000b273b8785210c437d5a58506827b,2020-04-17,196497,64,11,1,0.548,0.0397,0.871,0.0,0.357,-5.377,0.123,120.009,4,0.487
15,かくれんぼ,かくれんぼ,Yuuri,https://i.scdn.co/image/ab67616d0000b27371f916fb5387b041d608d2fa,2019-12-01,271093,59,9,1,0.671,0.417,0.505,0.0,0.124,-7.575,0.0629,156.019,4,0.311
16,魔法の絨毯,I believe in you,Takaya Kawasaki,https://i.scdn.co/image/ab67616d0000b273ccf41a86c6ca31a8a980e851,2018-03-14,212018,2,10,0,0.599,0.774,0.309,0.0,0.122,-6.292,0.0507,72.285,4,0.584
17,裸の心,おいしいパスタがあると聞いて,Aimyon,https://i.scdn.co/image/ab67616d0000b2734cf57a2df30a90a9a3fc39ef,2020-09-09,296653,61,8,1,0.559,0.537,0.448,1.85e-05,0.0915,-4.11,0.0275,148.02,4,0.354
18,Make you happy,Make you happy,NiziU,https://i.scdn.co/image/ab67616d0000b273fe52879ebfec0050a2aa89ff,2020-06-30,184520,52,7,1,0.78,0.0436,0.885,2.8e-05,0.105,-3.745,0.122,160.087,4,0.808
19,アンコール,THE BOOK,YOASOBI,https://i.scdn.co/image/ab67616d0000b273684d81c9356531f2a456b1c1,2021-01-06,271440,67,2,1,0.682,0.283,0.669,1e-06,0.145,-4.741,0.0275,81.999,4,0.831
20,napori,strobo,Vaundy,https://i.scdn.co/image/ab67616d0000b273fbc6a3d03bf7f991fc0c991b,2020-05-27,203787,24,11,1,0.88,0.417,0.356,0.0,0.0997,-7.802,0.297,129.822,4,0.468
21,正しくなれない,ぐされ,ZUTOMAYO,https://i.scdn.co/image/ab67616d0000b27345e670c7e25b4d0c1891d283,2021-02-10,240066,57,5,1,0.648,0.036,0.679,5.46e-06,0.127,-3.959,0.0361,118.67,4,0.484
22,Step and a step,Step and a step,NiziU,https://i.scdn.co/image/ab67616d0000b2735066b2f97da51d28ea71bfaf,2020-11-25,201720,54,0,1,0.844,0.184,0.851,8.53e-05,0.0754,-3.762,0.0494,116.038,4,0.541
23,たぶん,THE BOOK,YOASOBI,https://i.scdn.co/image/ab67616d0000b273684d81c9356531f2a456b1c1,2021-01-06,256773,66,5,1,0.748,0.157,0.661,0.00102,0.101,-6.702,0.0334,90.003,4,0.743
24,ハルカ,THE BOOK,YOASOBI,https://i.scdn.co/image/ab67616d0000b273684d81c9356531f2a456b1c1,2021-01-06,243613,63,1,1,0.712,0.0717,0.817,7.21e-06,0.146,-5.123,0.0279,100.016,4,0.679
25,猫,僕たちがやりました,DISH//,https://i.scdn.co/image/ab67616d0000b273ece6b6818c2b96a559508acc,2017-08-15,276040,70,3,1,0.506,0.113,0.769,0.0,0.0828,-5.326,0.0363,154.044,4,0.536
26,Pretender,Traveler,Official HIGE DANdism,https://i.scdn.co/image/ab67616d0000b2739c4ba827e585fabd3cfd90f2,2019-08-31,326842,58,8,1,0.538,0.047,0.869,0.0,0.14,-3.464,0.0275,91.972,4,0.369
27,紅蓮華,LEO-NiNE,LiSA,https://i.scdn.co/image/ab67616d0000b27364c8cf7bc530a05dd10e8efe,2020-10-14,237586,76,4,0,0.541,0.00321,0.977,5.13e-05,0.0796,-2.828,0.157,134.938,4,0.263
28,I Love...,I Love...,Official HIGE DANdism,https://i.scdn.co/image/ab67616d0000b27314a5fa753a5549ff6ece3523,2019-12-31,282026,43,9,1,0.54,0.0171,0.706,0.0,0.225,-5.235,0.0543,172.021,4,0.385
29,115万キロのフィルム,エスカパレード,Official HIGE DANdism,https://i.scdn.co/image/ab67616d0000b273981e918d799daf9eb7e72ac1,2018-04-11,324633,71,3,1,0.516,0.00345,0.791,0.0,0.141,-1.927,0.0318,96.921,4,0.48
30,不可幸力,strobo,Vaundy,https://i.scdn.co/image/ab67616d0000b273fbc6a3d03bf7f991fc0c991b,2020-05-27,200243,20,11,0,0.69,0.0157,0.815,2.85e-06,0.0636,-5.227,0.0426,94.032,4,0.613
31,感電,STRAY SHEEP,Kenshi Yonezu,https://i.scdn.co/image/ab67616d0000b273775e8184725e0fb89337dd9a,2020-08-05,264533,65,8,0,0.633,0.107,0.723,0.0,0.0818,-5.733,0.143,103.101,4,0.688
32,silent,silent,SEKAI NO OWARI,https://i.scdn.co/image/ab67616d0000b27310354f6fdbd6babda0d4d381,2020-10-21,308921,55,0,1,0.43,0.434,0.62,0.0,0.209,-5.274,0.0419,176.14,4,0.424
33,snow jam,swipe sheep,Rin音,https://i.scdn.co/image/ab67616d0000b2735dd0ff65e7e154393698d97e,2020-06-10,185378,55,1,1,0.583,0.185,0.627,0.0,0.159,-5.842,0.201,172.016,4,0.805
34,Walking with you,SKYWALK,Novelbright,https://i.scdn.co/image/ab67616d0000b273e984d27d0de318dc56f123d4,2018-10-03,223186,65,7,1,0.422,0.00585,0.969,0.0,0.533,-0.824,0.0591,92.524,4,0.496
