,name,album,artist,image,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,ドライフラワー,ドライフラワー,Yuuri,https://i.scdn.co/image/ab67616d0000b2732a89f91a19c16e94ba441132,2020-10-25,285586,69,7,1,0.463,0.426,0.624,0.0,0.221,-5.118,0.0274,147.929,4,0.521
1,Dynamite,BE,BTS,https://i.scdn.co/image/ab67616d0000b2733deb4b0115410a85afe31c29,2020-11-20,199053,40,6,0,0.746,0.0112,0.765,0.0,0.0936,-4.41,0.0993,114.044,4,0.737
2,夜に駆ける,THE BOOK,YOASOBI,https://i.scdn.co/image/ab67616d0000b273684d81c9356531f2a456b1c1,2021-01-06,258838,75,8,1,0.663,0.00299,0.871,1.8e-06,0.337,-5.287,0.03,130.025,4,0.826
3,Dance Floor,Dance Floor,Mars by Midnight,https://i.scdn.co/image/ab67616d0000b273950dfd5f0cda00af1ae2f9eb,2021-04-09,188244,10,1,1,0.796,0.000571,0.507,0.00541,0.104,-9.668,0.0845,125.004,4,0.354
4,うっせぇわ,うっせぇわ,Ado,https://i.scdn.co/image/ab67616d0000b27389e3b38cb86ef8cfb0cd8def,2020-10-23,204920,67,11,0,0.525,0.00485,0.978,0.0,0.06,-1.072,0.0815,178.069,4,0.577
5,勿忘,Grower,Awesome City Club,https://i.scdn.co/image/ab67616d0000b27357111a5d8c11af8b0b20f24c,2021-02-10,251533,71,6,0,0.448,0.234,0.447,0.0,0.382,-7.161,0.045,78.861,4,0.299
6,怪物,怪物,YOASOBI,https://i.scdn.co/image/ab67616d0000b273f609c79794752ed7ee0976b5,2021-01-06,206000,72,1,1,0.627,0.0699,0.824,6.57e-05,0.31,-3.419,0.118,169.935,4,0.774
7,群青,THE BOOK,YOASOBI,https://i.scdn.co/image/ab67616d0000b273684d81c9356531f2a456b1c1,2021-01-06,248026,73,10,1,0.725,0.305,0.853,0.0,0.115,-3.193,0.0516,134.991,4,0.707
8,炎,炎,LiSA,https://i.scdn.co/image/ab67616d0000b273e0dc47dd1584c66ad4492094,2020-10-12,275000,69,2,1,0.477,0.105,0.685,0.0,0.277,-4.554,0.0325,152.04,4,0.308
9,虹,虹,Masaki Suda,https://i.scdn.co/image/ab67616d0000b273179b92192479bf38feea842b,2020-11-10,258733,65,5,1,0.548,0.071,0.6,0.0,0.192,-5.049,0.0297,143.961,4,0.296
