,name,album,artist,image,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,W / X / Y,Memories,Tani Yuuki,https://i.scdn.co/image/ab67616d0000b27303e1a7fcbea3b074e69db4be,2021-12-08,278118,73,2,1,0.628,0.159,0.775,0.0,0.33,-4.479,0.0535,106.382,3,0.674
1,ベテルギウス,壱,Yuuri,https://i.scdn.co/image/ab67616d0000b273d0bd51668da5629aa0cc77d8,2022-01-12,230600,72,5,1,0.367,0.222,0.671,0.0,0.494,-4.604,0.0478,179.833,4,0.691
2,シンデレラボーイ,レイジーサンデー,Saucy Dog,https://i.scdn.co/image/ab67616d0000b27381b5fbf6470347967b819fe3,2021-08-25,234323,75,9,1,0.596,0.0748,0.735,0.0,0.269,-6.362,0.0332,108.106,4,0.524
3,なんでもないよ、,ハッピーエンドへの期待は,Macaroni Empitsu,https://i.scdn.co/image/ab67616d0000b2733bd4368fd67b77f029f4d2a4,2022-01-12,219252,72,4,1,0.598,0.245,0.511,0.0,0.0732,-6.015,0.0423,171.845,4,0.652
4,カメレオン,カメレオン,King Gnu,https://i.scdn.co/image/ab67616d0000b2736e73d28366be9eef6ddb8526,2022-02-28,193990,75,0,1,0.628,0.643,0.533,0.0,0.0733,-7.235,0.0417,79.953,4,0.459
5,残響散歌,残響散歌,Aimer,https://i.scdn.co/image/ab67616d0000b27310179936604a42f16280835e,2021-12-06,184893,80,11,1,0.367,0.000627,0.896,0.0,0.207,-4.002,0.091,170.863,4,0.38
6,ドライフラワー,壱,Yuuri,https://i.scdn.co/image/ab67616d0000b273d0bd51668da5629aa0cc77d8,2022-01-12,286360,70,7,1,0.463,0.495,0.603,0.0,0.167,-5.464,0.0276,148.089,4,0.477
7,水平線,水平線,back number,https://i.scdn.co/image/ab67616d0000b2732c34b754c9f4fb50c37e6982,2021-08-13,285396,74,10,1,0.419,0.011,0.75,0.0,0.159,-3.546,0.0316,145.867,4,0.436
8,ミックスナッツ,ミックスナッツ,Official HIGE DANdism,https://i.scdn.co/image/ab67616d0000b273e4432f106a0ca7a2088fbb3d,2022-04-15,213438,65,6,1,0.542,0.0101,0.918,0.0,0.259,-5.074,0.0937,150.094,4,0.784
9,LOVE DIVE,LOVE DIVE,IVE,https://i.scdn.co/image/ab67616d0000b2739016f58cc49e6473e1207093,2022-04-05,177186,84,1,0,0.703,0.00379,0.709,5.43e-05,0.333,-4.169,0.0433,117.941,4,0.538
10,CITRUS,SiX,Da-iCE,https://i.scdn.co/image/ab67616d0000b2733d7160267cb5a93eb4c22ba5,2021-01-20,248653,73,1,1,0.549,0.22,0.861,0.0,0.361,-2.526,0.0459,82.042,4,0.739
11,Comedy,Comedy,Gen Hoshino,https://i.scdn.co/image/ab67616d0000b27326573d555999566291e3b7a8,2022-04-08,230666,68,1,0,0.676,0.0322,0.461,1.01e-06,0.358,-6.746,0.143,87.917,4,0.715
12,きらり,Kirari Remixes (Asia Edition),Fujii Kaze,https://i.scdn.co/image/ab67616d0000b27393f551abf615209c537fb4d4,2022-01-14,231882,69,2,1,0.746,0.00803,0.764,0.0,0.357,-6.833,0.0462,116.982,4,0.701
13,シャッター,壱,Yuuri,https://i.scdn.co/image/ab67616d0000b273d0bd51668da5629aa0cc77d8,2022-01-12,248946,70,5,1,0.606,0.512,0.579,0.0,0.381,-5.582,0.033,149.988,4,0.661
14,Butter,"Butter (Hotter, Sweeter, Cooler)",BTS,https://i.scdn.co/image/ab67616d0000b273240447f2da1433d8f4303596,2021-06-04,164441,87,8,1,0.759,0.00323,0.459,0.0,0.0906,-5.187,0.0948,109.997,4,0.695
15,Dynamite,BE,BTS,https://i.scdn.co/image/ab67616d0000b273c07d5d2fdc02ae252fcd07e5,2020-11-20,199053,86,6,0,0.746,0.0112,0.765,0.0,0.0936,-4.41,0.0993,114.044,4,0.737
16,逆夢,逆夢,King Gnu,https://i.scdn.co/image/ab67616d0000b273f8f6a8981cd203c7ed997cdc,2021-12-24,307666,76,1,1,0.204,0.442,0.708,0.0,0.319,-5.425,0.0458,83.443,4,0.278
17,一途,一途,King Gnu,https://i.scdn.co/image/ab67616d0000b273681dedf478b2dde1a5b5ae4e,2021-12-10,190606,76,2,1,0.5,0.00723,0.964,6.2e-05,0.0557,-4.19,0.124,159.971,4,0.662
18,群青,THE BOOK,YOASOBI,https://i.scdn.co/image/ab67616d0000b273684d81c9356531f2a456b1c1,2021-01-06,248026,73,10,1,0.725,0.305,0.853,0.0,0.115,-3.193,0.0516,134.991,4,0.707
19,恋風邪にのせて,恋風邪にのせて,Vaundy,https://i.scdn.co/image/ab67616d0000b273beaf8bfe202f5efc54e837c6,2022-03-07,255914,72,6,0,0.595,0,0.909,0.000355,0.387,-3.594,0.0341,118.021,4,0.537
20,勿忘,Grower,Awesome City Club,https://i.scdn.co/image/ab67616d0000b27357111a5d8c11af8b0b20f24c,2021-02-10,251533,71,6,0,0.448,0.234,0.447,0.0,0.382,-7.161,0.045,78.861,4,0.299
21,Permission to Dance,Permission to Dance,BTS,https://i.scdn.co/image/ab67616d0000b273a7e481899b7e0396f93d10b8,2021-07-23,187585,83,9,1,0.702,0.00544,0.741,0.0,0.337,-5.33,0.0427,124.925,4,0.646
22,夜に駆ける,THE BOOK,YOASOBI,https://i.scdn.co/image/ab67616d0000b273684d81c9356531f2a456b1c1,2021-01-06,258838,75,8,1,0.663,0.00299,0.871,1.8e-06,0.337,-5.287,0.03,130.025,4,0.826
23,STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,The Kid LAROI,https://i.scdn.co/image/ab67616d0000b2738e6551a2944764bc8e33a960,2021-07-23,141805,89,1,1,0.591,0.0383,0.764,0.0,0.103,-5.484,0.0483,169.928,4,0.478
24,点描の唄,青と夏,Mrs. GREEN APPLE,https://i.scdn.co/image/ab67616d0000b273b68755a98268d7aa297549d5,2018-07-31,307066,72,0,1,0.502,0.447,0.632,0.0,0.103,-4.612,0.0273,152.014,4,0.308
